Date,AMZN,RIOT,TSLA,SPCE,GME,AMC,BBBY,BB,SNAP,NFLX,NVDA,AMD,SPOT,MSTR,SQ,ROKU,ZM,SHOP,GOOG
5/7/2021,164.5805054,33.38999939,224.1233368,19.61000061,40.27750015,9.510000229,25.39999962,8.479999542,54.70000076,503.8399963,147.9438629,78.80999756,239.4100037,620.460022,233.3500061,317,295.2399902,110.8600006,119.9345016
5/10/2021,159.5245056,29.95000076,209.6799927,17.95000076,35.80500031,9.739999771,25.15999985,8.130000114,52.13999939,486.6900024,142.4854431,75.98999786,228.2100067,569.460022,216.4299927,301.4100037,288.4899902,108.0240021,117.0830002
5/11/2021,161.1954956,29.87000084,205.7333374,18.12000084,36.72999954,10.05000019,25.01000023,8.300000191,53.29000092,495.0799866,142.8899689,76.83000183,228.0099945,576.960022,220.6499939,314.1199951,300.25,111.0199966,115.4380035
5/12/2021,157.5970001,26.52000046,196.6300049,16.07999992,36.19749832,10.31999969,23.65999985,7.949999809,51.56000137,484.980011,137.4190826,74.63999939,225.6000061,541.8800049,206.6699982,308.0299988,289.7000122,108.3899994,111.9540024
5/13/2021,158.0735016,22.22999954,190.5633392,15.5,41.125,12.77000046,23.31999969,7.940000057,50.95999908,486.6600037,136.4877014,73.08999634,217.0700073,488.0799866,197.1300049,309.6000061,290.1600037,104.7770004,113.0985031
5/14/2021,161.1450043,26.02000046,196.5800018,16.18000031,39.97999954,12.97999954,25.12000084,8.43999958,52.99000168,493.3699951,142.2582245,74.58999634,223.5899963,521.3099976,207.8500061,315.9500122,307.8900146,108.5009995,115.8079987
5/17/2021,163.5195007,24.30999947,192.2766724,16.63999939,45.15000153,13.94999981,25.20000076,8.489999771,53.90999985,488.9400024,141.4841614,74.65000153,223.3300018,489.3500061,202.9199982,312.4299927,308.9299927,109.6389999,116.0705032
5/18/2021,161.6139984,25.55999947,192.6233368,17.25,45.16749954,14.02999973,24.84000015,8.770000458,53.36000061,486.2799988,139.9884491,74.44000244,220.9900055,487.2000122,203.1600037,325.5299988,312.8599854,113.3359985,115.1715012
5/19/2021,161.5899963,24.13999939,187.8200073,17.27000046,42.20750046,12.64000034,24.64999962,8.539999962,53.90999985,487.7000122,140.487854,76.23000336,220.3099976,454.8599854,200.1100006,320.8399963,310.4599915,117.0390015,115.4355011
5/20/2021,162.3840027,24.18000031,195.593338,19.80999947,42.62250137,12.55000019,23.69000053,8.779999733,57.06999969,501.6700134,145.948761,78.05999756,228.6799927,472.6600037,204.9100037,335.980011,324.7099915,121.4899979,117.8044968
5/21/2021,160.154007,22.84000015,193.6266632,21.06999969,44.19749832,12.07999992,24.14999962,8.520000458,56.61000061,497.8900146,149.7367096,77.16999817,229.1399994,450.519989,200.0099945,330.6499939,316.3999939,122.4120026,117.2549973
5/24/2021,162.2494965,25.95000076,202.1466675,26.88999939,45.00249863,13.68000031,23.75,8.619999886,60.11999893,502.8999939,155.9317017,77.44000244,234.0599976,472.4500122,210.9499969,347.2200012,321.5599976,126.1429977,120.3335037
5/25/2021,162.9524994,25.13999939,201.5633392,25.59000015,52.35749817,16.40999985,23.73999977,8.590000153,59.15000153,501.3399963,156.2887573,77.86000061,236.7599945,469.6700134,216.1999969,345.7000122,321.2799988,124,120.4534988
5/26/2021,163.2579956,27.63999939,206.3766632,27,60.63999939,19.55999947,26.5,9.43999958,60.59000015,502.3599854,156.8106689,78.33999634,238.3899994,482.7900085,222.3399963,348.9899902,326.0499878,123.8830032,121.6764984
5/27/2021,161.5054932,28.5,210.2833405,31.09000015,63.53250122,26.52000046,27.01000023,9.970000267,61.06999969,503.8599854,154.6931915,78.41999817,240.2599945,493.8500061,220.8999939,349.0299988,326.4299927,124.0839996,120.1255035
5/28/2021,161.1535034,27.12999916,208.406662,31.22999954,55.5,26.12000084,27.98999977,10.06999969,62.11999893,502.8099976,162.2490845,80.08000183,241.5700073,470,222.5200043,346.7099915,331.5299988,124.2870026,120.5780029
6/1/2021,160.9324951,29.22999954,207.9666595,28.87999916,62.25500107,32.04000092,27.26000023,11.56000042,63.68999863,499.0799866,162.4488678,80.80999756,241.7299957,477.7600098,221.9499969,347.7099915,327.7200012,125.1559982,121.4905014
6/2/2021,161.6994934,30.03000069,201.706665,31.12999916,70.55999756,62.54999924,44.18999863,15.25,62.79000092,499.2399902,167.5801392,81.97000122,239.7299957,498.5,220.4100037,340.2399902,327.1099854,122.9589996,121.064003
6/3/2021,159.3504944,28.28000069,190.9466705,31.01000023,64.54499817,51.34000015,31.89999962,15.88000011,60.59999847,489.4299927,169.4928284,80.27999878,232.1900024,488.6400146,211.4299927,323.7999878,319.0100098,119.9000015,120.2304993
6/4/2021,160.3110046,29.14999962,199.6833344,31.37999916,62.09000015,47.90999985,31.70999908,13.85999966,61,494.7399902,175.5705109,81.58000183,236.1699982,484.6700134,213.6900024,327.1199951,336,120.5739975,122.5879974
6/7/2021,159.9004974,28.81999969,201.7100067,34.68999863,70.00250244,55,33.97999954,15.77000046,61.36999893,494.6600037,175.9774933,81.34999847,242.6600037,469.8099976,216.9499969,341.0599976,342.6600037,123.0550003,123.3044968
6/8/2021,163.2055054,28.05999947,201.1966705,37.49000168,75,55.04999924,36.83000183,15.80000019,60.15000153,492.3900146,174.3594666,80.88999939,242.5099945,459.3800049,214.1199951,340.1300049,341.2600098,123.0739975,124.1425018
6/9/2021,164.0574951,31.40999985,199.593338,35.15999985,75.63999939,49.34000015,34.29000092,15.15999985,61.77000046,485.8099976,173.4129028,79.95999908,237.6999969,512.9899902,210.2100067,339.6400146,333.6300049,121.5559998,124.5699997
6/10/2021,167.4824982,31.63999939,203.3733368,35.40999985,55.09749985,42.81000137,31.53000069,13.89000034,62.63000107,487.269989,174.0797272,81.55999756,247.1900024,508.6499939,217.1399994,347.8099976,346.5,123.1100006,126.0800018
6/11/2021,167.341507,31.03000069,203.2966614,35.09999847,58.33499908,49.40000153,31.90999985,14.18000031,64.08999634,488.769989,178.0783234,81.30999756,243.6600037,516.4400024,219.3399963,346.980011,366.3999939,124.7020035,125.6965027
6/14/2021,169.1934967,35.40000153,205.8966675,36.49000168,57.36000061,57,30.15999985,14.05000019,63.56999969,499.8900146,180.0114136,81.55000305,251.5099945,598.4899902,230.9499969,364.8599854,365.9100037,130.6640015,126.3519974
6/15/2021,169.1564941,35.06000137,199.7866669,34.86999893,55.625,59.04000092,29.45999908,13.98999977,62.27999878,491.8999939,177.7111664,80.47000122,242.7599945,630.539978,227.75,339.8800049,359,132.1080017,126.0329971
6/16/2021,170.7624969,34.20000076,201.6233368,35.36999893,55.74250031,55.18000031,29.10000038,12.88000011,60.20000076,492.4100037,177.9284821,80.11000061,242.7799988,619.8200073,225.1100006,336.6700134,361.8299866,136.6300049,125.6965027
6/17/2021,174.4620056,34.29999924,205.5333405,37.31999969,55.89749908,60.72999954,29.35000038,13.51000023,62.29000092,498.3399963,186.3901978,84.55999756,247.1100006,630.8099976,236.1300049,352.2999878,372.9500122,144.927002,126.3710022
6/18/2021,174.3450012,32.18000031,207.7700043,36.79999924,53.45500183,59.25999832,27.37999916,12.89999962,63.16999817,500.769989,186.205368,84.65000153,247.6399994,646.460022,237.0500031,368.4299927,374.2399902,146.6869965,125.5674973
6/21/2021,172.697998,31.56999969,206.9433289,36.02000046,50.09249878,55.68999863,27.68000031,12.80000019,63.59999847,497,184.092453,82.58999634,245.6000061,583.6699829,233.8899994,382.730011,369.25,148.022995,126.4550018
6/22/2021,175.2720032,32.22999954,207.9033356,39.41999817,55.09999847,58.27000046,28.65999985,13.40999985,62.93000031,508.8200073,188.6829376,83.58000183,253.6399994,553.7199707,235.9700012,403.5,374.6499939,150.8439941,126.9994965
